anime_id,anime_title,anime_english_title,anime_japanese_title,anime_synonyms
1011,Ranma ½ Super,,らんま１／２　ＳＵＰＥＲ,"Ranma ½ Super OVA, Ranma 1/2 Super"
14511,Minami-ke Tadaima,,みなみけ ただいま,Minami-ke 4th Season
23385,Kyoukai no Kanata: Shinonome (Beyond the Boundary: Daybreak),Beyond the Boundary: Daybreak,境界の彼方  ＃0「東雲」,Beyond the Horizon: Daybreak
433,"Kumo no Mukou, Yakusoku no Basho",The Place Promised in Our Early Days,雲のむこう、約束の場所,"Beyond the Clouds, The Promised Place"
2454,Kimagure Orange☆Road: Ano Hi ni Kaeritai,,きまぐれオレンジ★ロード　あの日にかえりたい,"Kimagure Orange Road: Ano Hi ni Kaeritai, Kimagure Orange Road Movie, Kimagure Orange Road: I Want to Return to That Day"
3713,Jigoku Shoujo Mitsuganae (Hell Girl: Three Vessels),Hell Girl: Three Vessels,地獄少女 三鼎,"Hell Girl 3, Jigoku Shoujo 3"
18619,Girls und Panzer: Kore ga Hontou no Anzio-sen Desu!,Girls & Panzer: This is the Real Anzio Battle!,ガールズ&パンツァー　これが本当のアンツィオ戦です！,"Girls und Panzer OVA, Girls und Panzer: This is the true battle of Anzio!"
19671,Free!: FrFr - Short Movie,,FrFr!～Free! short movie～,Free! Specials
226,Elfen Lied,Elfen Lied,エルフェンリート,"Elfen Song, Elfic Song"
10534,Doraemon Movie 31: Shin Nobita to Tetsujin Heidan - Habatake Tenshi-tachi,,映画 ドラえもん 新・のび太と鉄人兵団～はばたけ 天使たち～,Doraemon: Nobita and the New Steel Troops - Angel Wings
9785,Detective Conan: Conan vs. Kid - Shark & Jewel,,名探偵コナン コナンvsキッド SHARK & JEWEL,Meitantei Conan: Conan vs. Kid - Shark & Jewel
8086,Densetsu no Yuusha no Densetsu (The Legend of the Legendary Heroes),The Legend of the Legendary Heroes,伝説の勇者の伝説,"DenYuDen, DenYuuDen, Densetsu no Yusha no Densetsu, LOLH"
33988,Demi-chan wa Kataritai (Interviews With Monster Girls),Interviews With Monster Girls,亜人ちゃんは語りたい,Ajin-chan wa Kataritai
60,Chrno Crusade (Chrono Crusade),Chrono Crusade,クロノクルセイド,Chrno Crusade: Mary Magdalene
150,Blood+,Blood+,ブラッドプラス,Blood Plus
6347,Baka to Test to Shoukanjuu (Baka & Test - Summon the Beasts),Baka & Test - Summon the Beasts,バカとテストと召喚獣,"The Idiot, the Tests, and the Summoned Creatures, Baka to Test to Shokanju, BakaTest"
997,Bishoujo Senshi Sailor Moon S: Kaguya Hime no Koibito,Sailor Moon S Movie: Hearts in Ice,美少女戦士セーラームーンS かぐや姫の恋人,"Bishoujo Senshi Sailor Moon S: The Movie, Bishoujo Senshi Sailor Moon S: Kaguya-hime no Koibito"
